hours,group_01,group_02,group_03,group_04,group_05,group_06,group_07,group_08,group_09,group_10,group_11,group_12
170,0.037554000000000004,0.046997000000000004,0.018699,0.027335,0.038834,0.022084,0.030407,0.02992,0.035267,0.034408,0.041382999999999996,0.041260000000000005
180,0.041103,0.049365,0.018362,0.036458,0.042125,0.021100999999999998,0.030188,0.030069,0.03408,0.029981999999999998,0.04477,0.041488
190,0.042504,0.048917,0.024089,0.037214,0.037098,0.026958,0.030239,0.035407,0.030718000000000002,0.028446,0.038243,0.038868
200,0.040501,0.052797000000000004,0.023291,0.042075,0.042324,0.024928,0.028489999999999998,0.038701,0.034042,0.035952,0.04364,0.045362
210,0.03748,0.050787,0.022165999999999998,0.04136,0.041956,0.023674,0.026989,0.039633999999999996,0.027268,0.028266000000000003,0.034745,0.044916000000000005
220,0.040966,0.053524,0.024347,0.044784,0.043432,0.025956,0.024322999999999997,0.030581,0.031844,0.032507999999999995,0.042292,0.042856
230,0.033927,0.04585,0.024247,0.036579,0.051284,0.031479,0.035454,0.033678,0.027473,0.030112,0.041655000000000005,0.042539999999999994
240,0.042046,0.05032,0.024839,0.040128,0.039014,0.029547000000000004,0.027710000000000002,0.03218,0.035108,0.032626999999999996,0.040875,0.046251
250,0.040481,0.044397000000000006,0.025137,0.039001,0.042955,0.032744999999999996,0.027956,0.032936,0.033051,0.027662,0.038195,0.039115
260,0.042862,0.050283999999999995,0.023167,0.03947,0.043245,0.032325,0.036641,0.034799000000000004,0.036681,0.033773000000000004,0.033961,0.042262
270,0.040132999999999995,0.040201,0.025851999999999997,0.042976,0.048417,0.028286000000000002,0.030487,0.037082,0.035663,0.035376,0.03876,0.046512
280,0.039556,0.047619999999999996,0.022293,0.030438,0.044215,0.03184,0.033617,0.038751999999999995,0.034351,0.033382999999999996,0.032987,0.036098000000000005
290,0.037459,0.042832999999999996,0.022499,0.041428,0.049878,0.034285,0.038620999999999996,0.032704000000000004,0.033479,0.029474,0.032335,0.037961
300,0.050509,0.045239999999999995,0.01967,0.041763999999999996,0.045575,0.027991000000000002,0.034829,0.030298000000000002,0.045299,0.033656,0.033487,0.041365
310,0.044102999999999996,0.045717,0.018165,0.034622,0.044899,0.026398,0.034091,0.022422,0.036834,0.035269,0.03286,0.041257
320,0.04495,0.048929,0.023927,0.036639,0.042705,0.032017000000000004,0.035283,0.031935000000000005,0.036860000000000004,0.032437,0.039152,0.039395
330,0.044611000000000005,0.05285599999999999,0.018713,0.033759,0.045287,0.028207999999999997,0.03583,0.030531,0.045597000000000006,0.039783,0.039404,0.034667
340,0.046286,0.052929,0.022478,0.033152999999999995,0.036406,0.029778,0.038006,0.029223000000000002,0.046104,0.041977,0.043816,0.037029
350,0.043723000000000005,0.053022,0.022241,0.039117,0.044193,0.03096,0.037341,0.023538,0.038198,0.030527999999999996,0.043468,0.0418
360,0.041895999999999996,0.055077,0.025831,0.035003,0.046626,0.027413999999999997,0.029699,0.017358000000000002,0.039773,0.035405,0.040435000000000006,0.034155
370,0.039604,0.049333999999999996,0.029027999999999998,0.043503,0.047885000000000004,0.032063999999999995,0.034416,0.024662,0.037773,0.034839999999999996,0.034339999999999996,0.037557
380,0.040592,0.052279,0.028973000000000002,0.039441000000000004,0.053545,0.034368,0.031423,0.027676,0.04079,0.039751,0.037717,0.038532
390,0.040526,0.054466999999999995,0.031275,0.033944999999999996,0.045344,0.031464,0.034078,0.032906,0.039831,0.030432,0.044353,0.041533
400,0.038204,0.042716000000000004,0.033276,0.041392,0.044916000000000005,0.037924,0.030985000000000002,0.022066,0.033953,0.038238,0.039506,0.036052999999999995
410,0.038624,0.051278,0.031652,0.045806,0.04754,0.031124000000000002,0.031557999999999996,0.031863999999999996,0.040461000000000004,0.032330000000000005,0.038859,0.044969999999999996
420,0.034716000000000004,0.043345999999999996,0.032576999999999995,0.039208,0.049324,0.042316,0.030844,0.024416,0.043675,0.029929,0.033131,0.040163
430,0.040576,0.045777,0.032986,0.0377,0.046314999999999995,0.033067,0.031905,0.034089,0.040003,0.028022000000000002,0.043632,0.048036
440,0.038942000000000004,0.045495999999999995,0.033679,0.044025,0.051398,0.040629000000000005,0.025192,0.023826,0.042716000000000004,0.03764,0.041797,0.038432999999999995
450,0.043363,0.040599,0.033252,0.031451,0.053249,0.033312,0.03126,0.024692,0.040951999999999995,0.028206000000000002,0.040902999999999995,0.050281
460,0.029095,0.050809,0.032721,0.041118,0.050876,0.035937000000000004,0.033460000000000004,0.039238999999999996,0.044935,0.03952,0.03833,0.040654
470,0.03537,0.041434,0.033475,0.034242,0.047228,0.039278,0.030695999999999998,0.033188,0.036292000000000005,0.033107,0.033341,0.041248
480,0.037877999999999995,0.043445,0.030677,0.042976,0.043636,0.041458,0.036927,0.022555000000000002,0.040681999999999996,0.041257999999999996,0.043567,0.046943
490,0.045098,0.044801,0.03379,0.036508,0.046948000000000004,0.048632999999999996,0.029154000000000003,0.025963999999999997,0.044939,0.034095,0.044536,0.048622000000000005
500,0.044624000000000004,0.048582,0.032511,0.036778,0.043768,0.02543,0.029729000000000002,0.02827,0.047153,0.046995999999999996,0.041051,0.036881
510,0.045984,0.048563,0.033657,0.027527,0.046021,0.034609,0.035237,0.024888,0.045926,0.04097,0.039095,0.035713999999999996
520,0.050361,0.045218,0.031792,0.032168,0.043882,0.037879,0.040724,0.026563999999999997,0.050489,0.045887,0.044867000000000004,0.033347
530,0.045706000000000004,0.043127,0.033393,0.03507,0.040415,0.03244,0.038443,0.027638,0.040143,0.043898,0.040394,0.03913
540,0.052053999999999996,0.048305,0.034733,0.032381,0.037772,0.035648,0.0376,0.02628,0.037933999999999996,0.042423,0.043367,0.036667
550,0.045308,0.055422000000000006,0.033425,0.025939999999999998,0.041382999999999996,0.035812000000000004,0.034811,0.025141,0.0501,0.045426999999999995,0.042614,0.04467
560,0.047812,0.046095,0.039612,0.033864,0.044364999999999995,0.035793,0.040251999999999996,0.028783999999999997,0.043791000000000004,0.049333,0.045854,0.040322000000000004
570,0.049148000000000004,0.053064,0.037104000000000005,0.028797000000000003,0.038924,0.032332,0.036969999999999996,0.029764,0.040054,0.047129000000000004,0.051769,0.050769999999999996
580,0.049061,0.04525,0.039822,0.034362000000000004,0.043296,0.035924,0.033750999999999996,0.031495999999999996,0.034506,0.03967,0.043149,0.05497899999999999
590,0.044227999999999996,0.046212,0.041796,0.037717,0.049609,0.03553,0.035932,0.027228,0.038571,0.03767,0.050689,0.048019
600,0.042006,0.052279,0.039863,0.028207999999999997,0.04344,0.035764,0.024271,0.030599,0.037269,0.044433999999999994,0.050968,0.042589
610,0.048005,0.042426,0.043047,0.035468,0.041225,0.045259,0.027795,0.031132,0.033811,0.042339999999999996,0.056495000000000004,0.045876
620,0.043181,0.046713,0.034428,0.031373000000000005,0.032117,0.045173000000000005,0.027797000000000002,0.020630000000000003,0.031034,0.04096,0.057385000000000005,0.050178
630,0.047362,0.044025,0.042952,0.035224,0.040529,0.036733999999999996,0.032539,0.039126,0.038691,0.039754000000000005,0.05565,0.053452
640,0.044223,0.045802999999999996,0.037855,0.028860000000000004,0.052030999999999994,0.036856,0.037198,0.028413,0.039577,0.033934,0.052795,0.051624
650,0.051899,0.039147,0.037669,0.038727,0.050439,0.035901,0.029559,0.036125,0.036039,0.038149,0.056777999999999995,0.056725
660,0.042713,0.042759,0.0386,0.032325,0.042362000000000004,0.037641,0.031377999999999996,0.025693,0.032963,0.03935,0.04858,0.042955
670,0.053103,0.039785,0.032557,0.025074000000000003,0.050042,0.040681999999999996,0.03662,0.040093000000000004,0.038363,0.037422000000000004,0.056199,0.047096
680,0.052749000000000004,0.042908,0.035497,0.031226999999999998,0.054591999999999995,0.039757,0.038758,0.03778,0.037979,0.035447,0.049135000000000005,0.045685
690,0.061415,0.044227999999999996,0.039175,0.023195,0.047891,0.041937999999999996,0.041507,0.044713,0.034533999999999995,0.037683,0.050865,0.049623
700,0.061821,0.042816,0.030973,0.032744,0.042703,0.037177999999999996,0.043388,0.040097,0.038094,0.041219,0.049392,0.050894
710,0.052877999999999994,0.050995,0.038473,0.033614,0.046801999999999996,0.040372000000000005,0.045574,0.037897,0.034058,0.04236,0.053233,0.044994
720,0.05815,0.046120999999999995,0.028148000000000003,0.027091000000000004,0.044873,0.03366,0.041067,0.039513,0.039955000000000004,0.043864,0.055954,0.041707
730,0.054713,0.051144,0.033908999999999995,0.028179000000000003,0.040916,0.030366000000000004,0.045367000000000005,0.036174,0.039185000000000005,0.038827,0.060087,0.03951
740,0.05740599999999999,0.043954,0.031294999999999996,0.034460000000000005,0.05045,0.035808,0.043722000000000004,0.041739,0.037465,0.044635,0.052631,0.053778999999999993
750,0.05827,0.054492,0.036996,0.033987,0.047767000000000004,0.030754000000000004,0.046649,0.0354,0.036576,0.045602,0.048506,0.040194
760,0.05892000000000001,0.057765,0.035075999999999996,0.034509,0.047599,0.033484,0.047848,0.034138,0.031049,0.038217,0.057964999999999996,0.048081
770,0.067564,0.050032,0.036806,0.026395,0.052686000000000004,0.033218,0.041973,0.035496,0.034193,0.035385,0.059634000000000006,0.045412
780,0.050595,0.053277,0.033149,0.037084,0.052904,0.031466,0.044159,0.038484,0.036949,0.033073000000000005,0.053942,0.053364999999999996
790,0.049960000000000004,0.054197,0.039157,0.036044,0.050623,0.029248000000000003,0.047014,0.038777,0.035608999999999995,0.032868,0.057549,0.050325999999999996
800,0.057958,0.048754,0.036513,0.037924,0.05645599999999999,0.031194,0.041933,0.044295999999999995,0.026983999999999998,0.041937,0.061158000000000004,0.053402
810,0.055247000000000004,0.050138999999999996,0.042394,0.039512,0.070089,0.038393000000000004,0.042753,0.047025,0.030182999999999998,0.041037,0.057255999999999994,0.054433
820,0.05229299999999999,0.046495,0.039095,0.039779,0.053878999999999996,0.033134,0.052377999999999994,0.048012,0.037493,0.036338999999999996,0.055011000000000004,0.050897000000000005
830,0.063557,0.047272,0.042498,0.044429,0.061999,0.037822,0.052564,0.038821,0.034753,0.034279000000000004,0.05142000000000001,0.053076
840,0.051799,0.043307,0.037766,0.046778,0.061062,0.036577,0.049557,0.050911,0.036507,0.030991,0.05065,0.04634
850,0.05222,0.051254999999999995,0.043809,0.043788,0.056620000000000004,0.036871,0.044183,0.060578,0.032485,0.036263,0.048303,0.046067000000000004
860,0.056563999999999996,0.054611,0.04154,0.04047,0.057735,0.046338,0.049264999999999996,0.050891000000000006,0.028613999999999997,0.028386,0.050751,0.052829999999999995
870,0.046380000000000005,0.053261,0.034058,0.046415,0.052726999999999996,0.039776,0.049531,0.057523000000000005,0.030886,0.035124,0.056261,0.038603
880,0.050067,0.05221699999999999,0.03818,0.037024,0.055055999999999994,0.039813999999999995,0.048447000000000004,0.050625,0.039766,0.036127,0.044857,0.04219
890,0.052739,0.049102999999999994,0.036623,0.037757,0.058648,0.040538,0.051494000000000005,0.045898,0.036403,0.032585,0.053627999999999995,0.043743000000000004
900,0.059807000000000006,0.063849,0.034492,0.041704000000000005,0.054059,0.041533999999999995,0.055817,0.04215,0.038407,0.035188,0.047514999999999995,0.043041
910,0.055661,0.058158,0.034936,0.039553,0.048469,0.035436,0.058609,0.048924,0.042643,0.03818,0.046346,0.037966
920,0.053842999999999995,0.057151,0.038758,0.031431,0.053012000000000004,0.035341000000000004,0.064779,0.051369000000000005,0.038743,0.038938,0.052226,0.034068
930,0.056907000000000006,0.058338,0.039652,0.051825,0.058710000000000005,0.037156,0.053196,0.057252,0.032237,0.045217,0.048588,0.046132
940,0.055913,0.054371,0.03973,0.03758,0.051717,0.038459,0.062899,0.042774,0.03188,0.03871,0.053026,0.033875999999999996
950,0.055349,0.053659000000000005,0.040456,0.041849000000000004,0.056692,0.043433,0.055984000000000006,0.046116000000000004,0.0394,0.037806,0.053051999999999995,0.037454
960,0.052261,0.06138300000000001,0.0408,0.042726,0.059729,0.038629000000000004,0.061064999999999994,0.045582,0.040438999999999996,0.036307,0.051872,0.040143
970,0.049878,0.06519,0.044812,0.042295,0.05521,0.041522,0.052047,0.044376,0.042953,0.035584,0.054786,0.033245
980,0.05033,0.060724,0.04384,0.039587,0.060410000000000005,0.04562,0.05679,0.036212,0.043161,0.036147000000000006,0.049555,0.049678
990,0.050079000000000005,0.056741999999999994,0.048047,0.052049,0.061064999999999994,0.041694999999999996,0.05686,0.042767,0.032111,0.035748,0.05825,0.043163
1000,0.043834,0.052131,0.044461,0.051253,0.055885000000000004,0.048532,0.052302999999999995,0.035903,0.038407,0.039706,0.050024,0.039554
1010,0.053273,0.06402999999999999,0.048264,0.05310700000000001,0.06301699999999999,0.049368,0.05180800000000001,0.044298000000000004,0.037288,0.036219,0.052201,0.043445
1020,0.051979,0.059428999999999996,0.043082,0.049236,0.059486000000000004,0.050306000000000003,0.053689,0.052878999999999995,0.038553,0.032333,0.0527,0.038122
1030,0.048664,0.053949000000000004,0.049303,0.054053,0.053127999999999995,0.059171,0.058922,0.05319,0.042736,0.032902999999999995,0.049732,0.042655
1040,0.044785000000000005,0.052796,0.049572000000000005,0.054341999999999994,0.062461,0.053055,0.052162,0.057703,0.035357,0.039063,0.041631,0.051782
1050,0.049154,0.047820999999999995,0.051051,0.055521,0.05582,0.047561,0.05625499999999999,0.057885,0.039358,0.044125,0.051074,0.035877
1060,0.040576999999999995,0.040057,0.047833999999999995,0.051005,0.062708,0.052733,0.059457,0.039463,0.034564,0.038064,0.043135,0.036795999999999995
1070,0.047436,0.047552,0.05552000000000001,0.048083,0.063911,0.052735000000000004,0.05664299999999999,0.04168,0.048144,0.03259,0.034727,0.040317
1080,0.049557,0.045038999999999996,0.052166,0.054015999999999995,0.052474,0.043552999999999994,0.068814,0.05223099999999999,0.048381,0.038098,0.035269,0.039781
1090,0.045613,0.039807,0.047526,0.050113,0.06525800000000001,0.056808000000000004,0.055229999999999994,0.051330999999999995,0.045548000000000005,0.044874000000000004,0.035387,0.042696
1100,0.050148000000000005,0.052391,0.05341,0.049803,0.056008,0.052997,0.060291,0.0433,0.054624,0.041846,0.049826,0.036265
1110,0.046077,0.05379199999999999,0.057602999999999994,0.050224,0.053534000000000005,0.047894,0.0633,0.045488,0.05442,0.042545,0.035601,0.04079
1120,0.050513999999999996,0.047055,0.055825,0.047612,0.049624,0.056151,0.058316,0.054615,0.046569,0.050874,0.04924,0.035970999999999996
1130,0.039209,0.048957,0.045679000000000004,0.048512,0.05155,0.052749000000000004,0.062311,0.041785,0.058196000000000005,0.047406000000000004,0.043172,0.036253
1140,0.044692,0.051075999999999996,0.047616000000000006,0.050102,0.048216,0.052557000000000006,0.062453999999999996,0.035173,0.047806,0.051415999999999996,0.042848000000000004,0.038338
1150,0.045771,0.05134299999999999,0.053634,0.043718,0.046310000000000004,0.057675,0.054798,0.038193,0.048948,0.045954,0.046185000000000004,0.040605
1160,0.044762,0.0538,0.058009000000000005,0.046093,0.046207,0.063113,0.065282,0.044831,0.046697,0.044351999999999996,0.049237,0.041634
1170,0.046866000000000005,0.058975,0.06015499999999999,0.048362,0.052834000000000006,0.055429,0.05896799999999999,0.046562,0.056487,0.043233,0.048417,0.046334
1180,0.048132999999999995,0.050098000000000004,0.056176,0.047868,0.055574,0.051196,0.057952,0.036773,0.050716000000000004,0.039983,0.052405999999999994,0.042166
1190,0.040442,0.047541,0.065582,0.050883,0.057289,0.065364,0.052926999999999995,0.045498000000000004,0.049199,0.043937000000000004,0.04469,0.047126
1200,0.049999,0.05295,0.055601,0.042615,0.047978,0.062333000000000006,0.049171,0.044695,0.043605,0.051052999999999994,0.042735,0.055617999999999994
1210,0.042006,0.051715,0.061678,0.060646000000000005,0.052829999999999995,0.056749,0.056348,0.048257999999999995,0.0443,0.049855000000000003,0.049733,0.039004000000000004
1220,0.045374,0.041235,0.067304,0.052864999999999995,0.044074,0.06200700000000001,0.051726999999999995,0.043923000000000004,0.047289,0.044208,0.048664,0.0539
1230,0.040086000000000004,0.039153,0.065326,0.049732,0.05941799999999999,0.073837,0.051629999999999995,0.052801,0.039483,0.051112,0.05276,0.059591
1240,0.041269,0.047245,0.06775199999999999,0.057835000000000004,0.050616,0.059748,0.049267,0.045727,0.045685,0.048059,0.058804999999999996,0.043512
1250,0.047068,0.040547,0.062671,0.058851,0.060779,0.069195,0.052063,0.047264999999999995,0.056973,0.045272,0.050281,0.055033000000000006
1260,0.045758999999999994,0.044907,0.061166,0.050425,0.048642000000000005,0.059963999999999996,0.052286,0.050595,0.052525,0.05276599999999999,0.040612999999999996,0.04367
1270,0.048288,0.044617000000000004,0.068641,0.046838,0.048739,0.067865,0.053117,0.050828,0.052302,0.049174,0.040535,0.059775999999999996
1280,0.05731,0.046219,0.063553,0.050684,0.051427,0.060016,0.061038,0.056237,0.054208000000000006,0.061222000000000006,0.045194,0.048777
1290,0.053257000000000006,0.051236000000000004,0.059852999999999996,0.044952,0.046787999999999996,0.057658,0.056344000000000005,0.054225999999999996,0.058665999999999996,0.060897,0.044531,0.056761
1300,0.051229,0.048947000000000004,0.0601,0.047281000000000004,0.043033999999999996,0.057571000000000004,0.05719199999999999,0.053345000000000004,0.056593,0.051329,0.050270999999999996,0.042443
1310,0.055447,0.055769000000000006,0.0598,0.058585000000000005,0.040284,0.0555,0.059425,0.060974,0.056425,0.060725,0.054419,0.051872
1320,0.053312,0.050866,0.058743,0.044238,0.043689,0.057083,0.056697000000000004,0.06034400000000001,0.052055,0.06440499999999999,0.052801999999999995,0.05173099999999999
1330,0.05209400000000001,0.051439,0.064978,0.045841,0.061849,0.055349,0.06333,0.050145999999999996,0.055836000000000004,0.059427,0.041937,0.038554000000000005
1340,0.052613,0.05235,0.055889,0.047237,0.043681,0.059637,0.052962999999999996,0.057469000000000006,0.051563,0.061199,0.05421599999999999,0.050057
1350,0.052158,0.044802999999999996,0.06227100000000001,0.046528,0.04929,0.054186,0.05928200000000001,0.059508000000000005,0.053092999999999994,0.063151,0.050363,0.038623000000000005
1360,0.041048,0.045364,0.064312,0.0534,0.051927,0.061616,0.05860800000000001,0.056736,0.048043999999999996,0.060882000000000006,0.043555,0.036275
1370,0.053663999999999996,0.050171,0.057629,0.049844,0.05368,0.065045,0.056287000000000004,0.052574,0.045099,0.059963999999999996,0.044108999999999995,0.05631900000000001
1380,0.058290999999999996,0.055629,0.06943200000000001,0.046339,0.058914999999999995,0.050558,0.059212,0.054774,0.061404999999999994,0.060347000000000005,0.053678,0.054536
1390,0.057692999999999994,0.052825,0.065618,0.043302,0.048857,0.057963,0.058127,0.052921,0.053398,0.053966999999999994,0.050700999999999996,0.053689999999999995
1400,0.05524199999999999,0.053564999999999995,0.05602000000000001,0.054572,0.040141,0.05806,0.060467999999999994,0.061512,0.053453999999999995,0.05565,0.058847000000000003,0.051721
1410,0.043516,0.040856,0.066093,0.062989,0.053108,0.066789,0.053401,0.044798000000000004,0.056086000000000004,0.055288,0.05726900000000001,0.064951
1420,0.054992,0.050220999999999995,0.055009,0.054263,0.057995000000000005,0.059341,0.059695000000000005,0.06005800000000001,0.046205,0.057039,0.056695,0.054184
1430,0.063292,0.047293,0.073147,0.059997,0.061110000000000005,0.053026,0.05703300000000001,0.061387,0.044448,0.060785000000000006,0.05834500000000001,0.062394000000000005
1440,0.056052,0.042669,0.062487,0.060627,0.062147,0.066321,0.05631799999999999,0.07522000000000001,0.056241,0.057811,0.052295,0.056386
1450,0.046154,0.0464,0.05899600000000001,0.058839999999999996,0.060672000000000004,0.064612,0.057804999999999995,0.06365900000000001,0.049624,0.049492,0.061649,0.059240999999999995
1460,0.05360499999999999,0.047736,0.06385,0.054826,0.050151,0.063542,0.062818,0.06527100000000001,0.058812,0.061857,0.052269,0.054492
1470,0.059145,0.048348,0.06418099999999999,0.06439199999999999,0.056666999999999995,0.058179999999999996,0.051974,0.059771000000000005,0.051146,0.055999999999999994,0.054938,0.056284
1480,0.055727,0.049345,0.059638,0.050526999999999996,0.051366999999999996,0.061936,0.058696000000000005,0.072027,0.055282000000000005,0.051114,0.054254,0.06273300000000001
1490,0.053415,0.047033,0.059417,0.06512000000000001,0.059000000000000004,0.057795000000000006,0.056032000000000005,0.071018,0.056014,0.0554,0.054980999999999995,0.046394
1500,0.064912,0.051089999999999997,0.058609,0.057921,0.05360499999999999,0.056112,0.07173500000000001,0.06695,0.06104299999999999,0.061528,0.050736,0.065812
1510,0.053423000000000005,0.051404,0.056179,0.066125,0.049414,0.058692999999999995,0.060119000000000006,0.06687,0.048119,0.055108000000000004,0.050917000000000004,0.06309400000000001
1520,0.054488,0.058342,0.054483000000000004,0.054308,0.053693,0.055773,0.068633,0.075075,0.051171,0.047442000000000005,0.048376999999999996,0.039736
1530,0.060466,0.057814,0.064193,0.056222,0.053445000000000006,0.056492999999999995,0.076614,0.071587,0.059129999999999995,0.059355,0.051351,0.054272
1540,0.060072,0.058164,0.056932,0.051717,0.054919,0.051439,0.069924,0.06905599999999999,0.054042999999999994,0.053362,0.051297,0.051907
1550,0.062138,0.05959400000000001,0.06323,0.057352999999999994,0.051875,0.067762,0.067316,0.071042,0.056933000000000004,0.055622000000000005,0.05530499999999999,0.041477999999999994
1560,0.06213,0.06042,0.057960000000000005,0.070392,0.060941999999999996,0.054763,0.069825,0.067819,0.06753300000000001,0.054227,0.05044,0.056632
1570,0.050143,0.058138999999999996,0.049664,0.075866,0.060087,0.054113,0.067458,0.075837,0.049486,0.060719,0.055032000000000005,0.049866
1580,0.052360000000000004,0.066208,0.065747,0.055559000000000004,0.061411,0.06602100000000001,0.071344,0.07810299999999999,0.058292,0.054111,0.06163,0.052152
1590,0.046847,0.053812,0.064062,0.06814400000000001,0.059141,0.0702,0.063933,0.061388,0.049076,0.05773,0.057999,0.055813
1600,0.051871,0.057953,0.057244,0.070173,0.062325,0.057099000000000004,0.068377,0.074023,0.055652999999999994,0.056326,0.054635,0.048347
1610,0.048177,0.055541999999999994,0.058724,0.076283,0.057102999999999994,0.06809,0.06211799999999999,0.07245599999999999,0.056926,0.047918999999999996,0.052925,0.052849
1620,0.058299000000000004,0.050827,0.06023,0.065827,0.06379800000000001,0.06073200000000001,0.060493,0.082814,0.054512,0.049497,0.054548,0.052377999999999994
1630,0.058275,0.05660900000000001,0.061569000000000006,0.073587,0.056785,0.06204400000000001,0.06675700000000001,0.08362,0.052387,0.0524,0.052947,0.051068
1640,0.057668,0.05269,0.064341,0.082661,0.063666,0.067517,0.066589,0.074927,0.054412,0.054214,0.046031,0.055023
1650,0.05108,0.061938,0.069802,0.07388099999999999,0.059692999999999996,0.068494,0.067217,0.067313,0.053672000000000004,0.059618,0.050974,0.061320000000000006
1660,0.046616000000000005,0.052695000000000006,0.063046,0.07876699999999999,0.058183000000000006,0.06402200000000001,0.063842,0.078243,0.061079999999999995,0.061690999999999996,0.052061,0.059358
1670,0.047148,0.056063999999999996,0.064991,0.076416,0.060704999999999995,0.069736,0.06621,0.074158,0.058612,0.060663999999999996,0.045883999999999994,0.053270000000000005
1680,0.052326,0.043239,0.059747,0.07600599999999999,0.061551,0.06706799999999999,0.065512,0.08670800000000001,0.063596,0.060801999999999995,0.04745,0.05315
1690,0.054808,0.049210000000000004,0.059953,0.075202,0.064247,0.065055,0.07045599999999999,0.084678,0.06479700000000001,0.0584,0.042569,0.056366
1700,0.048929,0.05729,0.066359,0.080954,0.057416999999999996,0.068902,0.07736799999999999,0.075235,0.067203,0.05600700000000001,0.039708999999999994,0.05121799999999999
1710,0.052827,0.063345,0.061311000000000004,0.07105299999999999,0.050796,0.069399,0.07286799999999999,0.06879299999999999,0.069727,0.05770700000000001,0.044663,0.049414
1720,0.060214,0.061086,0.065849,0.083298,0.050976,0.067694,0.06793400000000001,0.072612,0.076361,0.064028,0.046932999999999996,0.046238
1730,0.064996,0.06257,0.065464,0.082479,0.041587,0.07313099999999999,0.070632,0.079088,0.073387,0.060372,0.058128,0.05915700000000001
1740,0.051862,0.062211,0.067754,0.07159700000000001,0.05366699999999999,0.064377,0.062914,0.061854,0.076961,0.075487,0.052025999999999996,0.058607000000000006
1750,0.052795,0.06678200000000001,0.067887,0.077511,0.060101999999999996,0.067208,0.072871,0.057833,0.06554199999999999,0.072203,0.046707,0.038816
1760,0.049365,0.067554,0.069513,0.075322,0.054340999999999993,0.077909,0.06761,0.07647899999999999,0.07096799999999999,0.071286,0.051007,0.036697
1770,0.044893999999999996,0.058945000000000004,0.069483,0.080354,0.062385,0.06481100000000001,0.07209700000000001,0.07113,0.066689,0.069469,0.04274,0.038458
1780,0.049946,0.05690800000000001,0.062503,0.07946,0.05513200000000001,0.076079,0.066761,0.073297,0.070154,0.069678,0.056294000000000004,0.05544400000000001
1790,0.051586,0.062877,0.078872,0.080478,0.054335,0.072752,0.065968,0.067925,0.059104,0.065,0.050365,0.06115399999999999
1800,0.051634000000000006,0.061259,0.07004099999999999,0.082826,0.049463,0.071275,0.06702899999999999,0.06375900000000001,0.061943,0.072916,0.053622,0.072236
1810,0.041519,0.066107,0.077544,0.064842,0.065338,0.072934,0.065813,0.063037,0.06987,0.07937000000000001,0.048116,0.065635
1820,0.046443,0.063595,0.076785,0.070792,0.061318,0.076011,0.061819000000000006,0.05709500000000001,0.06974,0.065944,0.050046,0.065058
