hours,group_01,group_02,group_03,group_04,group_05,group_06,group_07,group_08,group_09,group_10,group_11,group_12
810,0.055247,0.050139,0.042394,0.039512,0.070089,0.038393,0.042753,0.047025,0.030183,0.041037,0.057256,0.054433
820,0.052293,0.046495,0.039095,0.039779,0.053879,0.033134,0.052378,0.048012,0.037493,0.036339,0.055011,0.050897
830,0.063557,0.047272,0.042498,0.044429,0.061999,0.037822,0.052564,0.038821,0.034753,0.034279,0.05142,0.053076
840,0.051799,0.043307,0.037766,0.046778,0.061062,0.036577,0.049557,0.050911,0.036507,0.030991,0.05065,0.04634
850,0.05222,0.051255,0.043809,0.043788,0.05662,0.036871,0.044183,0.060578,0.032485,0.036263,0.048303,0.046067
860,0.056564,0.054611,0.04154,0.04047,0.057735,0.046338,0.049265,0.050891,0.028614,0.028386,0.050751,0.05283
870,0.04638,0.053261,0.034058,0.046415,0.052727,0.039776,0.049531,0.057523,0.030886,0.035124,0.056261,0.038603
880,0.050067,0.052217,0.03818,0.037024,0.055056,0.039814,0.048447,0.050625,0.039766,0.036127,0.044857,0.04219
890,0.052739,0.049103,0.036623,0.037757,0.058648,0.040538,0.051494,0.045898,0.036403,0.032585,0.053628,0.043743
900,0.059807,0.063849,0.034492,0.041704,0.054059,0.041534,0.055817,0.04215,0.038407,0.035188,0.047515,0.043041
910,0.055661,0.058158,0.034936,0.039553,0.048469,0.035436,0.058609,0.048924,0.042643,0.03818,0.046346,0.037966
920,0.053843,0.057151,0.038758,0.031431,0.053012,0.035341,0.064779,0.051369,0.038743,0.038938,0.052226,0.034068
930,0.056907,0.058338,0.039652,0.051825,0.05871,0.037156,0.053196,0.057252,0.032237,0.045217,0.048588,0.046132
940,0.055913,0.054371,0.03973,0.03758,0.051717,0.038459,0.062899,0.042774,0.03188,0.03871,0.053026,0.033876
950,0.055349,0.053659,0.040456,0.041849,0.056692,0.043433,0.055984,0.046116,0.0394,0.037806,0.053052,0.037454
960,0.052261,0.061383,0.0408,0.042726,0.059729,0.038629,0.061065,0.045582,0.040439,0.036307,0.051872,0.040143
970,0.049878,0.06519,0.044812,0.042295,0.05521,0.041522,0.052047,0.044376,0.042953,0.035584,0.054786,0.033245
980,0.05033,0.060724,0.04384,0.039587,0.06041,0.04562,0.05679,0.036212,0.043161,0.036147,0.049555,0.049678
990,0.050079,0.056742,0.048047,0.052049,0.061065,0.041695,0.05686,0.042767,0.032111,0.035748,0.05825,0.043163
1000,0.043834,0.052131,0.044461,0.051253,0.055885,0.048532,0.052303,0.035903,0.038407,0.039706,0.050024,0.039554
1010,0.053273,0.06403,0.048264,0.053107,0.063017,0.049368,0.051808,0.044298,0.037288,0.036219,0.052201,0.043445
1020,0.051979,0.059429,0.043082,0.049236,0.059486,0.050306,0.053689,0.052879,0.038553,0.032333,0.0527,0.038122
1030,0.048664,0.053949,0.049303,0.054053,0.053128,0.059171,0.058922,0.05319,0.042736,0.032903,0.049732,0.042655
1040,0.044785,0.052796,0.049572,0.054342,0.062461,0.053055,0.052162,0.057703,0.035357,0.039063,0.041631,0.051782
1050,0.049154,0.047821,0.051051,0.055521,0.05582,0.047561,0.056255,0.057885,0.039358,0.044125,0.051074,0.035877
1060,0.040577,0.040057,0.047834,0.051005,0.062708,0.052733,0.059457,0.039463,0.034564,0.038064,0.043135,0.036796
1070,0.047436,0.047552,0.05552,0.048083,0.063911,0.052735,0.056643,0.04168,0.048144,0.03259,0.034727,0.040317
1080,0.049557,0.045039,0.052166,0.054016,0.052474,0.043553,0.068814,0.052231,0.048381,0.038098,0.035269,0.039781
1090,0.045613,0.039807,0.047526,0.050113,0.065258,0.056808,0.05523,0.051331,0.045548,0.044874,0.035387,0.042696
1100,0.050148,0.052391,0.05341,0.049803,0.056008,0.052997,0.060291,0.0433,0.054624,0.041846,0.049826,0.036265
1110,0.046077,0.053792,0.057603,0.050224,0.053534,0.047894,0.0633,0.045488,0.05442,0.042545,0.035601,0.04079
1120,0.050514,0.047055,0.055825,0.047612,0.049624,0.056151,0.058316,0.054615,0.046569,0.050874,0.04924,0.035971
1130,0.039209,0.048957,0.045679,0.048512,0.05155,0.052749,0.062311,0.041785,0.058196,0.047406,0.043172,0.036253
1140,0.044692,0.051076,0.047616,0.050102,0.048216,0.052557,0.062454,0.035173,0.047806,0.051416,0.042848,0.038338
1150,0.045771,0.051343,0.053634,0.043718,0.04631,0.057675,0.054798,0.038193,0.048948,0.045954,0.046185,0.040605
1160,0.044762,0.0538,0.058009,0.046093,0.046207,0.063113,0.065282,0.044831,0.046697,0.044352,0.049237,0.041634
1170,0.046866,0.058975,0.060155,0.048362,0.052834,0.055429,0.058968,0.046562,0.056487,0.043233,0.048417,0.046334
1180,0.048133,0.050098,0.056176,0.047868,0.055574,0.051196,0.057952,0.036773,0.050716,0.039983,0.052406,0.042166
1190,0.040442,0.047541,0.065582,0.050883,0.057289,0.065364,0.052927,0.045498,0.049199,0.043937,0.04469,0.047126
1200,0.049999,0.05295,0.055601,0.042615,0.047978,0.062333,0.049171,0.044695,0.043605,0.051053,0.042735,0.055618
1210,0.042006,0.051715,0.061678,0.060646,0.05283,0.056749,0.056348,0.048258,0.0443,0.049855,0.049733,0.039004
1220,0.045374,0.041235,0.067304,0.052865,0.044074,0.062007,0.051727,0.043923,0.047289,0.044208,0.048664,0.0539
1230,0.040086,0.039153,0.065326,0.049732,0.059418,0.073837,0.05163,0.052801,0.039483,0.051112,0.05276,0.059591
1240,0.041269,0.047245,0.067752,0.057835,0.050616,0.059748,0.049267,0.045727,0.045685,0.048059,0.058805,0.043512
1250,0.047068,0.040547,0.062671,0.058851,0.060779,0.069195,0.052063,0.047265,0.056973,0.045272,0.050281,0.055033
1260,0.045759,0.044907,0.061166,0.050425,0.048642,0.059964,0.052286,0.050595,0.052525,0.052766,0.040613,0.04367
1270,0.048288,0.044617,0.068641,0.046838,0.048739,0.067865,0.053117,0.050828,0.052302,0.049174,0.040535,0.059776
1280,0.05731,0.046219,0.063553,0.050684,0.051427,0.060016,0.061038,0.056237,0.054208,0.061222,0.045194,0.048777
1290,0.053257,0.051236,0.059853,0.044952,0.046788,0.057658,0.056344,0.054226,0.058666,0.060897,0.044531,0.056761
1300,0.051229,0.048947,0.0601,0.047281,0.043034,0.057571,0.057192,0.053345,0.056593,0.051329,0.050271,0.042443
1310,0.055447,0.055769,0.0598,0.058585,0.040284,0.0555,0.059425,0.060974,0.056425,0.060725,0.054419,0.051872
1320,0.053312,0.050866,0.058743,0.044238,0.043689,0.057083,0.056697,0.060344,0.052055,0.064405,0.052802,0.051731
1330,0.052094,0.051439,0.064978,0.045841,0.061849,0.055349,0.06333,0.050146,0.055836,0.059427,0.041937,0.038554
1340,0.052613,0.05235,0.055889,0.047237,0.043681,0.059637,0.052963,0.057469,0.051563,0.061199,0.054216,0.050057
1350,0.052158,0.044803,0.062271,0.046528,0.04929,0.054186,0.059282,0.059508,0.053093,0.063151,0.050363,0.038623
1360,0.041048,0.045364,0.064312,0.0534,0.051927,0.061616,0.058608,0.056736,0.048044,0.060882,0.043555,0.036275
1370,0.053664,0.050171,0.057629,0.049844,0.05368,0.065045,0.056287,0.052574,0.045099,0.059964,0.044109,0.056319
1380,0.058291,0.055629,0.069432,0.046339,0.058915,0.050558,0.059212,0.054774,0.061405,0.060347,0.053678,0.054536
1390,0.057693,0.052825,0.065618,0.043302,0.048857,0.057963,0.058127,0.052921,0.053398,0.053967,0.050701,0.05369
1400,0.055242,0.053565,0.05602,0.054572,0.040141,0.05806,0.060468,0.061512,0.053454,0.05565,0.058847,0.051721
1410,0.043516,0.040856,0.066093,0.062989,0.053108,0.066789,0.053401,0.044798,0.056086,0.055288,0.057269,0.064951
1420,0.054992,0.050221,0.055009,0.054263,0.057995,0.059341,0.059695,0.060058,0.046205,0.057039,0.056695,0.054184
1430,0.063292,0.047293,0.073147,0.059997,0.06111,0.053026,0.057033,0.061387,0.044448,0.060785,0.058345,0.062394
1440,0.056052,0.042669,0.062487,0.060627,0.062147,0.066321,0.056318,0.07522,0.056241,0.057811,0.052295,0.056386
1450,0.046154,0.0464,0.058996,0.05884,0.060672,0.064612,0.057805,0.063659,0.049624,0.049492,0.061649,0.059241
1460,0.053605,0.047736,0.06385,0.054826,0.050151,0.063542,0.062818,0.065271,0.058812,0.061857,0.052269,0.054492
1470,0.059145,0.048348,0.064181,0.064392,0.056667,0.05818,0.051974,0.059771,0.051146,0.056,0.054938,0.056284
1480,0.055727,0.049345,0.059638,0.050527,0.051367,0.061936,0.058696,0.072027,0.055282,0.051114,0.054254,0.062733
1490,0.053415,0.047033,0.059417,0.06512,0.059,0.057795,0.056032,0.071018,0.056014,0.0554,0.054981,0.046394
1500,0.064912,0.05109,0.058609,0.057921,0.053605,0.056112,0.071735,0.06695,0.061043,0.061528,0.050736,0.065812
1510,0.053423,0.051404,0.056179,0.066125,0.049414,0.058693,0.060119,0.06687,0.048119,0.055108,0.050917,0.063094
1520,0.054488,0.058342,0.054483,0.054308,0.053693,0.055773,0.068633,0.075075,0.051171,0.047442,0.048377,0.039736
1530,0.060466,0.057814,0.064193,0.056222,0.053445,0.056493,0.076614,0.071587,0.05913,0.059355,0.051351,0.054272
1540,0.060072,0.058164,0.056932,0.051717,0.054919,0.051439,0.069924,0.069056,0.054043,0.053362,0.051297,0.051907
1550,0.062138,0.059594,0.06323,0.057353,0.051875,0.067762,0.067316,0.071042,0.056933,0.055622,0.055305,0.041478
1560,0.06213,0.06042,0.05796,0.070392,0.060942,0.054763,0.069825,0.067819,0.067533,0.054227,0.05044,0.056632
1570,0.050143,0.058139,0.049664,0.075866,0.060087,0.054113,0.067458,0.075837,0.049486,0.060719,0.055032,0.049866
1580,0.05236,0.066208,0.065747,0.055559,0.061411,0.066021,0.071344,0.078103,0.058292,0.054111,0.06163,0.052152
1590,0.046847,0.053812,0.064062,0.068144,0.059141,0.0702,0.063933,0.061388,0.049076,0.05773,0.057999,0.055813
1600,0.051871,0.057953,0.057244,0.070173,0.062325,0.057099,0.068377,0.074023,0.055653,0.056326,0.054635,0.048347
1610,0.048177,0.055542,0.058724,0.076283,0.057103,0.06809,0.062118,0.072456,0.056926,0.047919,0.052925,0.052849
1620,0.058299,0.050827,0.06023,0.065827,0.063798,0.060732,0.060493,0.082814,0.054512,0.049497,0.054548,0.052378
1630,0.058275,0.056609,0.061569,0.073587,0.056785,0.062044,0.066757,0.08362,0.052387,0.0524,0.052947,0.051068
1640,0.057668,0.05269,0.064341,0.082661,0.063666,0.067517,0.066589,0.074927,0.054412,0.054214,0.046031,0.055023
1650,0.05108,0.061938,0.069802,0.073881,0.059693,0.068494,0.067217,0.067313,0.053672,0.059618,0.050974,0.06132
1660,0.046616,0.052695,0.063046,0.078767,0.058183,0.064022,0.063842,0.078243,0.06108,0.061691,0.052061,0.059358
1670,0.047148,0.056064,0.064991,0.076416,0.060705,0.069736,0.06621,0.074158,0.058612,0.060664,0.045884,0.05327
1680,0.052326,0.043239,0.059747,0.076006,0.061551,0.067068,0.065512,0.086708,0.063596,0.060802,0.04745,0.05315
1690,0.054808,0.04921,0.059953,0.075202,0.064247,0.065055,0.070456,0.084678,0.064797,0.0584,0.042569,0.056366
1700,0.048929,0.05729,0.066359,0.080954,0.057417,0.068902,0.077368,0.075235,0.067203,0.056007,0.039709,0.051218
1710,0.052827,0.063345,0.061311,0.071053,0.050796,0.069399,0.072868,0.068793,0.069727,0.057707,0.044663,0.049414
1720,0.060214,0.061086,0.065849,0.083298,0.050976,0.067694,0.067934,0.072612,0.076361,0.064028,0.046933,0.046238
1730,0.064996,0.06257,0.065464,0.082479,0.041587,0.073131,0.070632,0.079088,0.073387,0.060372,0.058128,0.059157
1740,0.051862,0.062211,0.067754,0.071597,0.053667,0.064377,0.062914,0.061854,0.076961,0.075487,0.052026,0.058607
1750,0.052795,0.066782,0.067887,0.077511,0.060102,0.067208,0.072871,0.057833,0.065542,0.072203,0.046707,0.038816
1760,0.049365,0.067554,0.069513,0.075322,0.054341,0.077909,0.06761,0.076479,0.070968,0.071286,0.051007,0.036697
1770,0.044894,0.058945,0.069483,0.080354,0.062385,0.064811,0.072097,0.07113,0.066689,0.069469,0.04274,0.038458
1780,0.049946,0.056908,0.062503,0.07946,0.055132,0.076079,0.066761,0.073297,0.070154,0.069678,0.056294,0.055444
1790,0.051586,0.062877,0.078872,0.080478,0.054335,0.072752,0.065968,0.067925,0.059104,0.065,0.050365,0.061154
1800,0.051634,0.061259,0.070041,0.082826,0.049463,0.071275,0.067029,0.063759,0.061943,0.072916,0.053622,0.072236
1810,0.041519,0.066107,0.077544,0.064842,0.065338,0.072934,0.065813,0.063037,0.06987,0.07937,0.048116,0.065635
1820,0.046443,0.063595,0.076785,0.070792,0.061318,0.076011,0.061819,0.057095,0.06974,0.065944,0.050046,0.065058
1830,0.041586,0.055246,0.077179,0.083428,0.055736,0.07461,0.060336,0.065598,0.078844,0.073683,0.052934,0.066848
1840,0.044363,0.054723,0.083645,0.079546,0.053428,0.082384,0.060756,0.063174,0.073301,0.059157,0.042026,0.059765
1850,0.048044,0.058382,0.072922,0.076174,0.049536,0.069622,0.061441,0.064247,0.071548,0.061157,0.044881,0.075887
1860,0.050241,0.05713,0.075147,0.071631,0.059873,0.085291,0.060617,0.08256,0.074201,0.067355,0.035142,0.06305
1870,0.054593,0.054363,0.078661,0.081706,0.04999,0.085979,0.061401,0.063295,0.085732,0.068733,0.053476,0.066137
1880,0.059778,0.051862,0.073665,0.063555,0.061265,0.069347,0.066064,0.070694,0.071091,0.066585,0.050439,0.070864
1890,0.06072,0.059652,0.075801,0.077203,0.050386,0.083136,0.060271,0.063945,0.083133,0.083751,0.05274,0.058327
1900,0.05361,0.054436,0.064174,0.076973,0.051948,0.076742,0.064334,0.074884,0.073323,0.086611,0.054081,0.053687
1910,0.051578,0.056609,0.073499,0.08136,0.056847,0.079701,0.061283,0.075908,0.071822,0.087769,0.054005,0.050735
1920,0.060887,0.054228,0.068754,0.074217,0.057872,0.070364,0.070182,0.079811,0.08003,0.081832,0.048297,0.06228
1930,0.058148,0.051526,0.073153,0.083682,0.047155,0.070697,0.065828,0.073855,0.080306,0.09159,0.0536,0.060382
1940,0.058708,0.063736,0.063446,0.078124,0.052655,0.079089,0.0644,0.077796,0.077409,0.069703,0.054726,0.059309
1950,0.058398,0.057825,0.075087,0.068228,0.049602,0.075719,0.061702,0.066767,0.074779,0.079809,0.051342,0.056938
1960,0.048349,0.058368,0.081101,0.067632,0.047233,0.077996,0.059013,0.067662,0.080906,0.080943,0.067499,0.073147
1970,0.053207,0.060327,0.079102,0.075363,0.048472,0.076781,0.067308,0.062214,0.084763,0.087047,0.054315,0.060727
1980,0.062071,0.05521,0.070511,0.069908,0.042701,0.072056,0.059075,0.070157,0.086111,0.083452,0.051991,0.057444
1990,0.058532,0.067593,0.075291,0.069788,0.051562,0.078104,0.060086,0.07229,0.079183,0.083826,0.060278,0.06858
2000,0.048898,0.069564,0.080401,0.069097,0.056432,0.080509,0.055529,0.064373,0.064226,0.082263,0.061276,0.065279
2010,0.052123,0.05942,0.075332,0.071812,0.066984,0.067675,0.056835,0.070402,0.078212,0.076297,0.059047,0.08334
2020,0.057389,0.055616,0.075058,0.081285,0.050158,0.073137,0.054837,0.085787,0.072051,0.087108,0.063125,0.070299
2030,0.065122,0.057742,0.07657,0.074663,0.053445,0.08327,0.05168,0.078363,0.068619,0.081277,0.053877,0.075519
2040,0.054534,0.067851,0.080628,0.062815,0.053668,0.085006,0.055858,0.085151,0.077271,0.085454,0.064563,0.072245
2050,0.053088,0.063728,0.079531,0.078552,0.055874,0.08657,0.053892,0.077252,0.076049,0.083371,0.063864,0.084989
2060,0.061159,0.064817,0.069965,0.075758,0.056924,0.069608,0.0706,0.070793,0.076,0.074373,0.068449,0.076897
2070,0.071594,0.062714,0.076985,0.07546,0.045607,0.078712,0.052158,0.072989,0.079317,0.076639,0.060054,0.075709
2080,0.064968,0.065794,0.066501,0.073858,0.055112,0.073485,0.067433,0.067352,0.067035,0.087912,0.066241,0.084272
2090,0.063907,0.066353,0.063826,0.07226,0.060586,0.079325,0.064891,0.065958,0.082964,0.083224,0.062189,0.078759
2100,0.063228,0.065703,0.062845,0.084978,0.047487,0.079774,0.066778,0.086216,0.081976,0.079214,0.070821,0.074583
2110,0.07717,0.06685,0.068615,0.069561,0.060597,0.080282,0.06661,0.077258,0.075115,0.089578,0.062073,0.077018
2120,0.068953,0.068598,0.062014,0.073442,0.053278,0.067305,0.062801,0.081742,0.079866,0.090711,0.065743,0.083717
2130,0.065073,0.073088,0.05659,0.074979,0.05973,0.065103,0.056832,0.082351,0.082047,0.085288,0.068097,0.077429
2140,0.078614,0.067511,0.063829,0.08131,0.052978,0.058877,0.062985,0.065645,0.081841,0.088698,0.077805,0.079561
2150,0.057773,0.071501,0.062146,0.077891,0.066863,0.068066,0.064384,0.077233,0.076376,0.081569,0.058995,0.078314
2160,0.070975,0.065087,0.064772,0.071412,0.056523,0.076518,0.059759,0.076267,0.084054,0.08869,0.07068,0.084
2170,0.071807,0.074142,0.065948,0.082378,0.052781,0.060397,0.059481,0.076715,0.079284,0.090072,0.069552,0.083447
2180,0.062124,0.067861,0.069546,0.079301,0.060283,0.080177,0.062616,0.085891,0.066562,0.083599,0.072596,0.076634
2190,0.0764,0.069602,0.071247,0.077097,0.066784,0.075711,0.061777,0.079816,0.071965,0.074444,0.077322,0.08054
2200,0.059703,0.080272,0.072909,0.089508,0.061566,0.067024,0.057286,0.08369,0.075692,0.08684,0.069374,0.095638
2210,0.063087,0.076357,0.072041,0.082834,0.075801,0.072085,0.063551,0.085504,0.065734,0.094035,0.082572,0.092265
